calendar_year,fiscal_year,term,start_date,end_date
2018,2018,FY,2017-07-01,2018-06-30
2017,2018,Fall,2017-08-29,2017-12-21
2018,2018,Spring,2018-01-10,2018-05-08
2018,2018,Summer I,2018-05-21,2018-06-27
2018,2019,Summer II,2018-06-28,2018-08-03
2019,2019,FY,2018-07-01,2019-06-30
2018,2019,Fall,2018-08-28,2018-12-20
2019,2019,Spring,2019-01-16,2019-05-14
2019,2019,Summer I,2019-05-28,2019-07-03
2019,2020,Summer II,2019-07-05,2019-08-09
2020,2020,FY,2019-07-01,2020-06-30
2019,2020,Fall,2019-08-27,2019-12-19
2020,2020,Spring,2020-01-15,2020-05-12
2020,2020,Summer I,2020-05-26,2020-07-01
2020,2021,Summer II,2020-07-02,2020-08-07
2021,2021,FY,2020-07-01,2021-06-30
2020,2021,Fall,2020-09-01,2020-12-22
2021,2021,Spring,2021-01-20,2021-05-11
2021,2021,Summer I,2021-05-24,2021-06-30
2021,2022,Summer II,2021-07-01,2021-08-06
2022,2022,FY,2021-07-01,2022-06-30
2021,2022,Fall,2021-08-31,2021-12-22
2022,2022,Spring,2022-01-12,2022-05-10
2022,2022,Summer I,2022-05-23,2022-06-29
2022,2023,Summer II,2022-06-30,2022-08-05
2023,2023,FY,2022-07-01,2023-06-30
2022,2023,Fall,2022-08-30,2022-12-22
2023,2023,Spring,2023-01-11,2023-05-09
2023,2023,Summer I,2023-05-22,2023-06-28
2023,2024,Summer II,2023-06-29,2023-08-04
2024,2024,FY,2023-07-01,2024-06-30
2023,2024,Fall,2023-08-29,2023-12-21
2024,2024,Spring,2024-01-18,2024-05-14
2024,2024,Summer I,2024-05-28,2024-07-03
2024,2025,Summer II,2024-07-05,2024-08-09
2025,2025,FY,2024-07-01,2025-06-30
2024,2025,Fall,2024-08-27,2024-12-19
2025,2025,Spring,2025-01-15,2025-05-13
2025,2025,Summer I,2025-05-27,2025-07-02
2025,2026,Summer II,2025-07-03,2025-08-08
2026,2026,FY,2025-07-01,2026-06-30
2025,2026,Fall,2025-08-26,2025-12-18
2026,2026,Spring,2026-01-14,2026-05-12
2026,2026,Summer I,2026-05-26,2026-07-01
2026,2027,Summer II,2026-07-02,2026-08-07
2027,2027,FY,2026-07-01,2027-06-30
2026,2027,Fall,2026-08-25,2026-12-17
2027,2027,Spring,2027-01-20,2027-05-17
2027,2027,Summer I,2027-06-01,2027-07-08
2027,2028,Summer II,2027-07-09,2027-08-13